,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,paperlessbilling,monthlycharges,totalcharges,churn,contract_One year,contract_Two year,paymentmethod_Credit card (automatic),paymentmethod_Electronic check,paymentmethod_Mailed check
0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,1,29.85,29,0,0,0,0,1,0
1,1,0,0,0,34,1,0,0,2,0,2,0,0,0,0,56.95,1889,0,1,0,0,0,1
2,1,0,0,0,2,1,0,0,2,2,0,0,0,0,1,53.85,108,1,0,0,0,0,1
3,1,0,0,0,45,0,1,0,2,0,2,2,0,0,0,42.3,1840,0,1,0,0,0,0
4,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,70.7,151,1,0,0,0,1,0
5,0,0,0,0,8,1,2,1,0,0,2,0,2,2,1,99.65,820,1,0,0,0,1,0
6,1,0,0,1,22,1,2,1,0,2,0,0,2,0,1,89.1,1949,0,0,0,1,0,0
7,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,29.75,301,0,0,0,0,0,1
8,0,0,1,0,28,1,2,1,0,0,2,2,2,2,1,104.8,3046,1,0,0,0,1,0
9,1,0,0,1,62,1,0,0,2,2,0,0,0,0,0,56.15,3487,0,1,0,0,0,0
10,1,0,1,1,13,1,0,0,2,0,0,0,0,0,1,49.95,587,0,0,0,0,0,1
11,1,0,0,0,16,1,0,2,1,1,1,1,1,1,0,18.95,326,0,0,1,1,0,0
12,1,0,1,0,58,1,2,1,0,0,2,0,2,2,0,100.35,5681,0,1,0,1,0,0
13,1,0,0,0,49,1,2,1,0,2,2,0,2,2,1,103.7,5036,1,0,0,0,0,0
14,1,0,0,0,25,1,0,1,2,0,2,2,2,2,1,105.5,2686,0,0,0,0,1,0
15,0,0,1,1,69,1,2,1,2,2,2,2,2,2,0,113.25,7895,0,0,1,1,0,0
16,0,0,0,0,52,1,0,2,1,1,1,1,1,1,0,20.65,1022,0,1,0,0,0,1
17,1,0,0,1,71,1,2,1,2,0,2,0,2,2,0,106.7,7382,0,0,1,0,0,0
18,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,55.2,528,1,0,0,1,0,0
19,0,0,0,0,21,1,0,1,0,2,2,0,0,2,1,90.05,1862,0,0,0,0,1,0
20,1,1,0,0,1,0,1,0,0,0,2,0,0,2,1,39.65,39,1,0,0,0,1,0
21,1,0,1,0,12,1,0,2,1,1,1,1,1,1,0,19.8,202,0,1,0,0,0,0
22,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,20.15,20,1,0,0,0,0,1
23,0,0,1,0,58,1,2,0,0,2,0,2,0,0,1,59.9,3505,0,0,1,1,0,0
24,1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,59.6,2970,0,0,0,1,0,0
25,0,0,0,0,30,1,0,0,2,2,0,0,0,0,1,55.3,1530,0,0,0,0,0,0
26,1,0,1,1,47,1,2,1,0,2,0,0,2,2,1,99.35,4749,1,0,0,0,1,0
27,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,30.2,30,1,0,0,0,1,0
28,1,0,1,0,72,1,2,0,2,2,2,2,2,2,1,90.25,6369,0,0,1,1,0,0
29,0,0,0,1,17,1,0,0,0,0,0,0,2,2,1,64.7,1093,1,0,0,0,0,1
30,0,1,1,0,71,1,2,1,2,2,2,2,0,0,1,96.35,6766,0,0,1,1,0,0
31,1,1,1,0,2,1,0,1,0,0,2,0,2,2,1,95.5,181,0,0,0,1,0,0
32,0,0,1,1,27,1,0,0,2,2,2,2,0,0,0,66.15,1874,0,1,0,0,0,1
33,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,20.2,20,0,0,0,0,0,0
34,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,45.25,45,0,0,0,0,0,0
35,0,0,1,1,72,1,2,1,2,2,0,2,2,0,0,99.9,7251,0,0,1,0,0,0
36,1,0,0,0,5,1,0,1,0,0,0,0,0,0,1,69.7,316,1,0,0,0,1,0
37,0,0,0,0,46,1,0,1,0,0,2,0,0,0,1,74.8,3548,0,0,0,1,0,0
38,1,0,0,0,34,1,2,1,0,2,2,0,2,2,1,106.35,3549,1,0,0,0,1,0
39,0,0,0,0,11,1,2,1,0,0,2,0,2,2,1,97.85,1105,1,0,0,0,0,0
40,1,0,1,1,10,1,0,0,0,2,0,0,0,0,0,49.55,475,0,1,0,0,0,1
41,0,0,1,1,70,1,2,0,2,2,0,0,2,0,1,69.2,4872,0,0,1,1,0,0
42,0,0,1,1,17,1,0,2,1,1,1,1,1,1,0,20.75,418,0,1,0,0,0,1
43,0,0,0,0,63,1,2,0,2,2,2,2,2,0,1,79.85,4861,0,0,1,1,0,0
44,0,0,1,0,13,1,2,0,2,2,0,2,2,0,1,76.2,981,0,0,0,0,1,0
45,0,0,0,0,49,1,2,1,0,0,0,0,0,2,1,84.5,3906,0,0,0,0,1,0
46,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,49.25,97,0,0,0,0,0,1
47,0,0,0,0,2,1,0,1,0,0,0,0,2,0,1,80.65,144,1,0,0,0,1,0
48,1,0,0,0,52,1,2,0,2,0,0,2,2,2,1,79.75,4217,0,0,1,1,0,0
49,0,0,1,1,69,1,2,0,2,0,2,2,0,0,1,64.15,4254,0,0,1,1,0,0
50,0,1,0,0,43,1,2,1,0,2,0,0,2,0,1,90.25,3838,0,0,0,0,1,0
51,0,0,0,0,15,1,0,1,2,2,0,0,2,2,1,99.1,1426,1,0,0,1,0,0
52,0,1,1,0,25,1,2,0,2,0,0,2,2,0,1,69.5,1752,0,0,0,1,0,0
53,0,1,1,0,8,1,2,1,0,2,0,0,0,0,1,80.65,633,1,0,0,1,0,0
54,0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,74.85,4456,0,1,0,1,0,0
55,1,1,0,0,18,1,2,1,0,0,0,0,2,2,1,95.45,1752,1,0,0,0,1,0
56,0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,99.65,6311,0,1,0,1,0,0
57,1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,108.45,7076,0,1,0,0,1,0
58,0,0,1,1,34,1,2,2,1,1,1,1,1,1,0,24.95,894,0,0,1,1,0,0
59,0,0,0,0,72,1,2,1,0,0,2,2,2,2,1,107.5,7853,0,0,1,1,0,0
60,0,0,1,0,47,1,2,1,0,0,2,0,2,2,1,100.5,4707,0,0,0,0,1,0
61,1,0,0,0,60,1,2,1,0,2,0,0,2,0,1,89.9,5450,0,0,0,0,0,0
62,1,0,1,0,72,0,1,0,2,2,2,0,0,0,0,42.1,2962,0,0,1,0,0,0
63,0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,54.4,957,0,1,0,1,0,0
64,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,94.4,857,1,0,0,0,1,0
65,0,0,0,0,3,1,0,0,0,2,0,2,2,2,1,75.3,244,0,0,0,0,1,0
66,1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,78.9,3650,0,1,0,0,1,0
67,0,0,0,0,31,1,0,0,0,2,2,2,2,2,0,79.2,2497,0,0,1,0,0,1
68,0,0,1,1,50,1,0,2,1,1,1,1,1,1,0,20.15,930,0,0,1,0,0,0
69,1,0,0,0,10,1,0,1,2,0,2,0,0,0,1,79.85,887,0,0,0,0,0,1
70,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,49.05,49,0,0,0,0,0,1
71,0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,20.4,1090,0,1,0,0,1,0
72,1,1,1,1,64,1,2,1,2,0,2,2,2,2,1,111.6,7099,0,0,1,0,0,0
73,1,0,1,1,62,1,2,2,1,1,1,1,1,1,1,24.25,1424,0,0,1,0,0,0
74,0,0,0,1,3,1,0,0,2,0,0,2,0,2,1,64.5,177,0,0,0,0,0,0
75,0,1,0,0,56,1,2,1,2,2,2,0,2,2,0,110.5,6139,0,1,0,0,1,0
76,0,0,0,0,46,1,0,0,0,0,0,0,0,2,0,55.65,2688,0,1,0,1,0,0
